v1,v2,,,
ham,"Meet me at the park later, we can discuss the project.",,,
ham,"Had an amazing lunch at that new Italian place near town. Highly recommend it!",,,
spam,"Congratulations! You've been selected for a free trip to Paris. Call 12345 to claim your prize.",,,
ham,"Hey, are we still on for the meeting at 3 PM tomorrow?",,,
spam,"Urgent! Your account has been flagged. Verify it now by clicking the link: scamwebsite.com",,,
ham,"Thanks for the update! Let me know if you need any help with the report.",,,
spam,"FREE entry into a £500 gift card draw! Just reply WIN to 98765. Hurry, offer ends soon.",,,
ham,"Can you send me the files before tonight? I need them for the presentation.",,,
spam,"Alert: Your subscription will expire soon. Renew now for a special discount. Call 0800123456.",,,
ham,"Let's meet for coffee at the usual spot. I've got something to share.",,,
spam,"You've won a £100 Amazon gift card. Claim it now by replying YES to this number.",,,
ham,"The weather is so nice today, I think I'll go for a run.",,,
spam,"Reminder: Your loan application has been pre-approved! Call us today to claim your benefits.",,,
ham,"Don't forget to bring the documents for the meeting tomorrow.",,,
ham,"I'll be out of town this weekend. Let’s reschedule our plans for next week.",,,
spam,"Limited offer! Get 50% off on our premium services. Call now to upgrade.",,,
ham,"Thanks for the invitation! I’ll let you know if I can make it.",,,
spam,"Attention! Your mobile number has won a £2000 cash prize. Call 0800987654.",,,
ham,"Hey, just checking in to see how you're doing. Miss you!",,,
spam,"Claim your free iPhone 14 now! Visit scamlink.com before it’s too late.",,,
